country,country_tableau,refYear,phase,disruption_index,total_trade_B,yoy_pct,risk_category,volatility_score
Australia,Australia,2019,Pre-COVID (2019),0.3886516121576109,1.978,2.58,Medium,0.0002030556700245
Australia,Australia,2020,COVID Shock (2020),0.3821072151404929,1.7,2.17,Medium,0.0002030556700245
Australia,Australia,2021,Recovery (2021),0.3796508649990534,2.008,3.1,Medium,0.0002030556700245
Australia,Australia,2022,Post-COVID (2022),0.381781422148563,2.175,2.81,Medium,0.0002030556700245
Brazil,Brazil,2019,Pre-COVID (2019),0.3260666706700386,5.036,2.58,Medium,0.011009402711779
Brazil,Brazil,2020,COVID Shock (2020),0.3062575828054487,4.694,2.38,Medium,0.011009402711779
Brazil,Brazil,2021,Recovery (2021),0.3242478160447251,7.005,3.99,Medium,0.011009402711779
Brazil,Brazil,2022,Post-COVID (2022),0.3275013333673449,10.474,3.99,Medium,0.011009402711779
China,China,2019,Pre-COVID (2019),0.4688060665211499,123.371,2.58,High,1.0
China,China,2020,COVID Shock (2020),0.448827427788499,137.335,2.9,High,1.0
China,China,2021,Recovery (2021),0.4871436765339247,528.516,10.73,Medium,1.0
China,China,2022,Post-COVID (2022),0.4724043612397538,519.028,2.52,Medium,1.0
"China, Hong Kong SAR",Hong Kong,2019,Pre-COVID (2019),0.5798586564207515,282.226,2.58,Medium,0.3394135276760368
"China, Hong Kong SAR",Hong Kong,2020,COVID Shock (2020),0.5470376962641518,311.847,2.88,Medium,0.3394135276760368
"China, Hong Kong SAR",Hong Kong,2021,Recovery (2021),0.5533423452496276,224.049,1.77,Medium,0.3394135276760368
"China, Hong Kong SAR",Hong Kong,2022,Post-COVID (2022),0.5732535273664483,408.86,4.94,Medium,0.3394135276760368
Hungary,Hungary,2019,Pre-COVID (2019),0.2647534706723246,5.418,2.58,Low,0.0130044441657721
Hungary,Hungary,2020,COVID Shock (2020),0.2628839557094927,0.858,0.17,Low,0.0130044441657721
Hungary,Hungary,2021,Recovery (2021),0.2639426084116776,1.246,3.87,Low,0.0130044441657721
Hungary,Hungary,2022,Post-COVID (2022),0.2825522997234798,7.144,16.14,Low,0.0130044441657721
India,India,2019,Pre-COVID (2019),0.2992351880607315,0.627,2.58,Low,0.0476202085995823
India,India,2020,COVID Shock (2020),0.2705013469088673,0.467,1.85,Low,0.0476202085995823
India,India,2021,Recovery (2021),0.2824262224209319,0.643,3.65,Medium,0.0476202085995823
India,India,2022,Post-COVID (2022),0.5054274646964518,22.509,100.0,Medium,0.0476202085995823
Ireland,Ireland,2019,Pre-COVID (2019),0.3193226740862257,7.437,2.58,High,0.0319782705706178
Ireland,Ireland,2020,COVID Shock (2020),0.3158021179027357,8.433,2.96,High,0.0319782705706178
Ireland,Ireland,2021,Recovery (2021),0.3223085843195138,17.934,5.8,Low,0.0319782705706178
Ireland,Ireland,2022,Post-COVID (2022),0.3187432676969742,22.682,3.33,Low,0.0319782705706178
Japan,Japan,2019,Pre-COVID (2019),0.2496817443573399,47.142,2.58,Low,0.0252477336862948
Japan,Japan,2020,COVID Shock (2020),0.2466653085370748,48.927,2.68,Low,0.0252477336862948
Japan,Japan,2021,Recovery (2021),0.2546883280715891,58.656,3.15,Low,0.0252477336862948
Japan,Japan,2022,Post-COVID (2022),0.2532260182529295,57.584,2.52,Low,0.0252477336862948
Rep. of Korea,South Korea,2019,Pre-COVID (2019),0.311326632548732,127.016,2.58,High,0.1137144915040483
Rep. of Korea,South Korea,2020,COVID Shock (2020),0.302218248401694,137.7,2.82,High,0.1137144915040483
Rep. of Korea,South Korea,2021,Recovery (2021),0.3137835521321464,174.77,3.35,Low,0.1137144915040483
Rep. of Korea,South Korea,2022,Post-COVID (2022),0.3048832392604401,178.491,2.64,Low,0.1137144915040483
Spain,Spain,2019,Pre-COVID (2019),0.3063824805509557,2.828,2.58,Low,0.0107363333289796
Spain,Spain,2020,COVID Shock (2020),0.2833739904043685,0.544,0.26,Low,0.0107363333289796
Spain,Spain,2021,Recovery (2021),0.2894529885106349,0.606,2.9,Low,0.0107363333289796
Spain,Spain,2022,Post-COVID (2022),0.3512542716041718,6.048,28.28,Medium,0.0107363333289796
